ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"5.135.164.151","elite","AS16276","FR","OVH SAS","5","OVH","30256","socks4","65","1","2023-02-06T05:09:28.970Z","100","966","968"
"177.104.16.118","elite","AS262624","BR","Inetsafe Comercio De Equipamentos Eletronicos Ltda","209","Inetsafe Comercio De Equipamentos Eletronicos Ltda","14880","socks4","58","1","2023-02-06T05:09:27.390Z","99","886","892"
"183.88.18.60","elite","AS45629","TH","Triple T Broadband Public Company Limited","172","Triple T Broadband Public Company Limited","8080","socks4","51","1","2023-02-06T05:09:27.552Z","86","852","988"
"193.169.81.91","elite","AS49491","UA","Ternet LLC","37","Ternet LTD","5678","socks4","63","1","2023-02-06T05:09:26.095Z","73","702","968"
"45.112.125.55","elite","AS58369","ID","FIBERNET","164","N/A","4145","socks4","111","1","2023-02-06T05:09:25.264Z","100","972","974"
"103.70.206.129","elite","AS135712","IN","Euron Communications Pvt. Ltd","199","Euron Communications Pvt. Ltd.","59311","socks4","63","1","2023-02-06T05:09:25.458Z","99","954","965"
"157.185.178.152","elite","AS54994","US","Quantil Networks Inc","116","Hong Kong Seaga Technology Limited","26589","socks5","52","1","2023-02-06T05:09:24.227Z","100","869","869"
"8.39.228.133","elite","AS3356","US","Level 3 Communications, Inc.","124","Level 3, LLC","39593","socks4","68","1","2023-02-06T05:09:24.769Z","100","989","990"
"102.66.234.83","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","247","Herotel","5678","socks4","56","1","2023-02-06T05:09:24.110Z","57","558","981"
"103.76.172.230","elite","AS9341","ID","ICONPLN","273","N/A","4153","socks4","53","1","2023-02-06T05:09:24.543Z","94","930","990"
"78.186.98.148","elite","AS9121","TR","TurkTelecom","107","N/A","1080","socks4","58","1","2023-02-06T05:09:24.896Z","87","779","897"
"182.53.129.86","elite","AS23969","TH","TOT Public Company Limited","157","TOT Public Company Limited","5678","socks4","80","1","2023-02-06T05:09:24.715Z","44","433","975"
"186.248.87.172","elite","AS23106","BR","AMERICAN TOWER DO BRASIL-COMUNICAÇÂO MULTIMÍDIA LT","225","AMERICAN TOWER DO BRASIL-COMUNICAÇÂO MULTIMÍDIA LT","5678","socks4","59","1","2023-02-06T05:09:24.903Z","100","989","992"
"202.44.228.64","elite","AS4618","TH","Internet Thailand Company Ltd.","192","Internet Thailand Company Limited","4153","socks4","56","1","2023-02-06T05:09:24.427Z","3","32","927"
"185.143.234.28","elite","AS205585","IR","Noyan Abr Arvan Co. ( Private Joint Stock)","98","Anycast","8080","socks4","87","1","2023-02-06T05:09:23.471Z","89","784","884"
"103.127.52.132","elite","AS17995","ID","PT iForte Global Internet","769","Solusinet","5678","socks4","70","1","2023-02-06T05:09:23.353Z","68","669","982"
"83.151.4.172","elite","AS31286","RU","MTS PJSC","65","\"MTS\" OJSC","47036","socks4","64","1","2023-02-06T05:09:22.192Z","38","364","946"
"182.253.93.4","elite","AS17451","ID","BIZNET","189","N/A","53281","http","69","399","2023-02-06T05:09:22.157Z","99","911","917"
"123.200.6.58","elite","AS23688","BD","Link3 Technologies Limited","201","Corporate Subscriber","5678","socks4","65","1","2023-02-06T05:09:22.366Z","90","891","991"
"103.233.154.19","elite","AS17451","ID","BIZNET","192","N/A","4145","socks4","66","1","2023-02-06T05:09:22.986Z","100","988","988"
"41.190.147.158","elite","AS30844","UG","Maintainer Liquid Telecommunications Operations Limited","171","Liquid Telecommunications Operations Limited","33409","socks4","53","1","2023-02-06T05:09:22.367Z","93","924","990"
"202.44.224.76","elite","AS4618","TH","Internet Thailand Company Ltd","186","Internet Thailand Company Limited","4153","socks4","90","1","2023-02-06T05:09:22.680Z","75","743","992"
"138.201.248.43","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","31043","socks5","56","1","2023-02-06T05:09:22.200Z","90","845","936"
"105.213.67.100","elite","AS16637","ZA","MTN SA","193","MTN SA","5678","socks4","134","1","2023-02-06T05:09:22.766Z","97","949","975"
"180.180.152.98","elite","AS23969","TH","TOT Public Company Limited","153","TOT Public Company Limited","4145","socks4","505","1","2023-02-06T05:09:21.488Z","99","970","982"
"5.83.94.8","elite","AS29119","ES","ServiHosting Networks S.L.","835","Onlycable","4153","socks4","265","1","2023-02-06T05:09:21.551Z","88","829","937"
"45.126.168.81","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","195","NET 4 U Services PVT LTD","4145","socks4","85","1","2023-02-06T05:09:21.595Z","100","983","985"
"187.95.136.14","elite","AS262318","BR","Horizons Telecomunicações e Tecnologia S.A","207","Emmo Serviços Ltda","5678","socks4","68","1","2023-02-06T05:09:21.912Z","100","988","990"
"66.211.155.34","anonymous","AS10367","US","FirstLight Fiber","83","First Light Fiber","8080","http","126","223","2023-02-06T05:09:21.815Z","99","865","871"
"12.11.59.114","elite","AS7018","US","AT&T Services, Inc.","107","Ihgco ATT","1080","socks4","84","1","2023-02-06T05:09:21.940Z","99","977","991"
"78.128.124.108","elite","AS48584","BG","Telehouse-SARNICA","44","N/A","5678","socks4","179","1","2023-02-06T05:09:21.590Z","94","920","979"
"165.227.112.138","elite","AS14061","US","DigitalOcean, LLC","85","Digital Ocean","1080","socks4","248","1","2023-02-06T05:09:21.552Z","100","930","932"
"110.77.149.50","elite","AS131090","TH","CAT-BB","217","N/A","5678","socks4","215","1","2023-02-06T05:09:21.552Z","98","965","981"
"202.29.231.46","elite","AS4621","TH","Office of Info.Tech. Admin. for Educational Development","175","Office of Info.Tech. Admin. Educational Development","61507","socks4","57","1","2023-02-06T05:09:20.612Z","87","861","990"
"190.2.153.31","elite","AS49981","NL","WorldStream B.V.","11","WorldStream B.V","9050","socks5","52","1","2023-02-06T05:09:20.513Z","100","991","991"
"114.234.80.209","elite","AS4134","CN","Chinanet","218","Chinanet JS","5678","socks4","129","1","2023-02-06T05:09:20.422Z","72","714","988"
"185.66.59.235","elite","AS200509","ES","Solucions Valencianes i Noves Tecnologies SL","29","Svint","42647","socks4","50","1","2023-02-06T05:09:20.190Z","100","977","977"
"103.35.109.142","elite","AS23991","BD","Ranks ITT","195","Ranks ITT Ltd.","4145","socks4","171","1","2023-02-06T05:09:20.295Z","99","983","990"
"200.0.247.84","elite","AS10834","AR","Telefonica de Argentina","226","Smart S.A","4153","socks4","397","1","2023-02-06T05:09:20.989Z","99","977","989"
"43.128.40.142","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","334","Tencent Cloud Computing","65533","socks5","103","1","2023-02-06T05:09:20.397Z","100","945","949"
"114.6.88.238","elite","AS4761","ID","PT. INDOSAT Tbk","215","PT. INDOSAT Tbk","36732","socks4","161","1","2023-02-06T05:09:20.458Z","99","979","991"
"173.195.27.130","elite","AS11976","US","Fidelity Communication International Inc.","115","Fidelity Communication International Inc.","10091","socks4","82","1","2023-02-06T05:09:20.678Z","100","888","888"
"5.39.19.152","elite","AS16276","FR","OVH ISP","4","Caunes Sebastien","46529","socks5","65","2","2023-02-06T05:09:20.823Z","100","989","990"
"180.120.79.221","elite","AS4134","CN","Chinanet","219","Chinanet JS","44844","socks5","100","1","2023-02-06T05:09:19.816Z","63","604","960"
"185.170.233.104","elite","AS206912","CY","Superdach LTD","65","Infra","47574","socks4","96","1","2023-02-06T05:09:19.007Z","100","992","992"
"192.12.112.70","elite","AS266144","BR","Rosana Ferreira da Silva Multimidia ME","161","Rosana Ferreira da Silva Multimidia ME","4145","socks4","148","1","2023-02-06T05:09:19.768Z","99","925","931"
"177.86.64.57","elite","AS262623","BR","claudio jose lara -me","192","claudio jose lara -me","3629","socks4","104","1","2023-02-06T05:09:19.362Z","99","962","969"
"112.109.20.198","elite","AS24521","ID","DATAUTAMANET","258","N/A","4153","socks4","70","1","2023-02-06T05:09:19.482Z","98","901","917"
"80.26.55.178","elite","AS3352","ES","TDENET (Red de servicios IP)","29","N/A","5678","socks4","124","1","2023-02-06T05:09:19.904Z","100","913","915"
"27.145.61.163","elite","AS17552","TH","True Internet Corporation CO. Ltd.","188","Truenet BB","8080","socks4","230","1","2023-02-06T05:09:19.770Z","48","448","938"
"36.90.167.71","elite","AS7713","ID","PT. Telekomunikasi Indonesia","174","Telekomunikasi Indonesia","5678","socks4","280","1","2023-02-06T05:09:19.746Z","75","716","953"
"128.199.218.40","elite","AS14061","SG","DigitalOcean, LLC","171","DigitalOcean, LLC","29492","socks4","161","1","2023-02-06T05:09:19.767Z","100","945","947"
"89.43.5.134","elite","AS50810","IR","Mobin Net Communication Company (Private Joint Stock)","127","Mobin Net Communication Company","3629","socks4","56","1","2023-02-06T05:09:19.744Z","86","853","992"
"115.242.252.174","elite","AS55836","IN","Reliance Jio Infocomm Limited","144","Reliance Jio Infocomm Limited","4153","socks4","108","1","2023-02-06T05:09:19.815Z","81","806","991"
"45.7.177.253","elite","AS266626","BR","Litoral Telecom","196","Litoral Telecom","39867","socks4","59","1","2023-02-06T05:09:19.367Z","99","939","948"
"183.62.58.37","elite","AS4134","CN","Chinanet","235","Guangzhourunbaoxinxikejiyouxian","1080","socks4","235","1","2023-02-06T05:09:19.149Z","91","879","966"
"149.20.253.101","elite","AS18615","US","Mainstream Fiber Networks, LLC","100","Mainstream Fiber Networks, LLC","12551","socks4","467","1","2023-02-06T05:09:19.491Z","100","987","989"
"182.35.80.194","elite","AS4134","CN","Chinanet","189","Chinanet SD","9999","socks4","85","1","2023-02-06T05:09:19.006Z","27","247","919"
"172.67.127.188","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","493","1","2023-02-06T05:09:19.547Z","100","972","973"
"37.131.202.95","elite","AS48524","RU","VPN (PPPoE) customers Sverdlovsk reg. Interra Ltd.","90","\"Interra\" Ltd.","33427","socks5","70","1","2023-02-06T05:09:19.363Z","57","561","991"
"85.135.95.218","elite","AS30764","CZ","PODA a.s.","27","PODA","4145","socks4","1032","1","2023-02-06T05:09:18.166Z","100","991","991"
"81.163.36.210","elite","AS57227","RU","SUBNET05","136","LLC","42967","socks4","208","1","2023-02-06T05:09:18.457Z","97","961","991"
"182.253.192.186","elite","AS17451","ID","BIZNET","179","N/A","46634","socks4","497","1","2023-02-06T05:09:18.573Z","100","989","992"
"72.252.4.49","elite","AS396899","US","Natural G.C. Inc","149","Columbus Networks USA","4145","socks4","715","1","2023-02-06T05:09:18.536Z","97","960","991"
"177.36.185.178","elite","AS53062","BR","Ggnet Telecom Backbone","236","Ggnet Telecom Backbone","5678","socks4","138","1","2023-02-06T05:09:18.746Z","99","979","986"
"110.78.149.20","elite","AS131090","TH","CAT-BB","184","N/A","4145","socks4","183","1","2023-02-06T05:09:18.745Z","64","595","937"
"46.23.53.164","elite","AS197296","CZ","MAXTEL s.r.o. 1","32","MAXTEL s.r.o.","3629","socks4","197","1","2023-02-06T05:09:18.744Z","100","947","949"
"170.80.91.14","elite","AS264820","CR","Corebases S.A","157","Corebases S.A","4145","socks4","459","1","2023-02-06T05:09:18.576Z","98","953","968"
"177.105.68.11","elite","AS262637","BR","Netprimus Tecnologia Ltda","190","Netprimus Tecnologia Ltda","4153","socks4","162","1","2023-02-06T05:09:18.745Z","100","967","970"
"75.182.38.113","elite","AS11426","US","Charter Communications","105","Spectrum","5678","socks4","445","1","2023-02-06T05:09:18.578Z","100","935","937"
"201.184.29.124","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","164","EPM Telecomunicaciones S.A. E.S.P","4145","socks4","510","1","2023-02-06T05:09:18.572Z","98","973","988"
"185.66.59.207","elite","AS200509","ES","Solucions Valencianes i Noves Tecnologies SL","23","Svint","42647","socks4","531","1","2023-02-06T05:09:18.571Z","100","945","945"
"103.51.44.17","elite","AS133819","ID","CIM","203","N/A","4145","socks4","999","1","2023-02-06T05:09:18.168Z","99","984","992"
"70.112.94.208","elite","AS11427","US","Charter Communications","126","Spectrum","7659","socks4","900","1","2023-02-06T05:09:18.453Z","100","985","987"
